"","DISEASECODE","DIAGNOSISDISEASE","CNT"
"16217","S42201","左上腕骨頚部骨折",2
"16218","S422010","右上腕骨骨頭骨折",2
"16219","S422010","左上腕骨骨頭骨折",4
"16220","S422010","左上腕骨骨頭骨折（破裂骨折）",1
"16221","S422012","右上腕骨外科頚脱臼骨折",1
"16222","S422014","右上腕骨小結節骨折",1
"16223","S422014","左上腕骨小結節骨折",1
"16224","S42205","上腕骨大結節骨折",1
"16225","S42205","右上腕骨大結節骨折",2
"16226","S42206","右上腕骨大結節骨折・術後",1
"16227","S42207","右上腕骨解剖頚骨折",1
"16228","S42216","左上腕骨骨頭開放骨折",1
"16229","S42300","右上腕骨骨幹部の骨折",3
"16230","S42300","左上腕骨骨幹部の骨折",2
"16231","S42302","上腕骨脱臼骨折",1
"16232","S42310","左上腕骨骨幹部開放骨折",2
"16233","S42311","左上腕骨開放骨折",1
"16234","S42400","右上腕骨遠位端の骨折後遺症",1
"16235","S42400","左上腕骨遠位端の骨折",1
"16236","S42402","左上腕骨顆上骨折",1
"16237","S42406","右上腕骨外上顆骨折",2
"16238","S42414","上腕骨外上顆開放骨折",1
"16239","S42420","左上腕骨通顆開放骨折",1
"16240","S43000","右反復性肩関節脱臼",2
"16241","S43000","右肩関節脱臼",4
"16242","S43000","左反復性肩関節脱臼",4
"16243","S43000","左肩関節脱臼",6
"16244","S43000","肩関節脱臼",2
"16245","S43002","右反復性肩関節亜脱臼",2
"16246","S43004","右肩関節後方脱臼",1
"16247","S43005","右肩関節前方脱臼",1
"16248","S43005","左肩関節前方脱臼",1
"16249","S43100","右肩鎖関節脱臼",3
"16250","S43100","左肩鎖関節脱臼",1
"16251","S43101","右肩鎖関節亜脱臼",1
"16252","S43400","右肩関節捻挫",3
"16253","S43400","左肩関節捻挫",1
"16254","S43400","肩関節捻挫",2
"16255","S43600","胸鎖関節捻挫",1
"16256","S43700","肩甲帯捻挫",2
"16257","S46000","両側肩腱板断裂",2
"16258","S46000","両側肩腱板断裂術後障害",1
"16259","S46000","右肩腱板断裂",98
"16260","S46000","左肩腱板断裂",63
"16261","S46000","肩腱板断裂",2
"16262","S46002","右肩腱板不全断裂",15
"16263","S46002","右肩腱板不全断裂術後",1
"16264","S46002","左肩腱板不全断裂",16
"16265","S46010","右肩腱板損傷",1
"16266","S46010","右肩関節腱板損傷",4
"16267","S46010","右腱板損傷",3
"16268","S46010","右腱板損傷うたがい",1
"16269","S46010","左肩腱板損傷",1
"16270","S46010","腱板損傷",1
"16271","S46100","右上腕二頭筋損傷",1
"16272","S46100","左上腕二頭筋損傷",2
"16273","S46200","右上腕二頭筋断裂",1
"16274","S46201","右上腕二頭筋不全断裂",3
"16275","S46201","左上腕二頭筋不全断裂",2
"16276","S46202","右上腕二頭筋腱断裂",1
"16277","S49801","右肩関節唇損傷",1
"16278","S49900","肩・上腕の損傷",2
"16279","S50000","右肘の挫傷",1
"16280","S50002","右肘関節部打撲傷",2
"16281","S50002","左肘関節部打撲傷",7
"16282","S50100","右前腕の挫傷",2
"16283","S50101","左前腕部打撲傷",1
"16284","S50800","右前腕擦過創",1
"16285","S50800","左前腕擦過創",1
"16286","S50802","右前腕擦過傷",1
"16287","S51001","右肘関節挫創",2
"16288","S51004","左肘部皮膚欠損創",1
"16289","S51901","左前腕裂創",2
"16290","S51902","左前腕切創",1
"16291","S51905","両側前腕挫創",1
"16292","S51905","右前腕挫創",4
"16293","S51905","左前腕挫創",4
"16294","S51907","両側前腕皮膚欠損創",1
"16295","S51907","前腕皮膚欠損創",2
"16296","S52000","尺骨の近位端の骨折",2
"16297","S52004","右尺骨肘頭骨折",1
"16298","S52004","左尺骨肘頭骨折",1
"16299","S52006","右肘関節脱臼骨折",3
"16300","S52008","右肘頭粉砕骨折",1
"16301","S52100","左橈骨の近位端の骨折",2
"16302","S52102","右橈骨頭骨折",1
"16303","S52102","左橈骨頭骨折",1
"16304","S52102","橈骨頭骨折",1
"16305","S52200","左尺骨の骨幹部の骨折",3
"16306","S52211","左尺骨骨幹部開放骨折",1
"16307","S52300","右橈骨の骨幹部の骨折",1
"16308","S52310","左橈骨骨幹部開放骨折",1
"16309","S52400","左橈尺骨両骨の骨幹部の骨折",3
"16310","S52401","左橈骨尺骨骨幹部骨折",1
"16311","S52411","左橈骨尺骨骨幹部開放骨折",1
"16312","S52500","両側橈骨の遠位端の骨折",1
"16313","S52500","右橈骨の遠位端の骨折",5
"16314","S52500","左橈骨の遠位端の骨折",10
"16315","S52505","両側橈骨遠位端粉砕骨折",2
