"","WELFARECODE","MEDICINENAME1","CNT"
"186","1119402A3106","プロポフォール静注1%ﾏﾙｲｼ(1000mg/100mL)",3361
"187","1119402G1025","☆ディプリバン注キット１％(200mg/20ml)",11
"188","1119402G1025","ディプリバン注キット１％(200mg/20ml)",36
"189","1119402G2021","☆ディプリバン注キット１％(500mg/50ml)",606
"190","1119402G2021","ディプリバン注キット１％(500mg/50ml)",1236
"191","1124400A1058","(向)サイレース静注(2mg/1ml)",29
"192","1124400A1058","☆サイレース静注(2mg/1ml)",36
"193","1124401A1060","(向)ミダゾラム注「サンド」(10mg/2mL)",3422
"194","1124401A1060","【ICU･NICU限定】(向)ミダゾラム注「サンド」(10mg/2mL)",16
"195","1124401A1060","【NICU限定】(向)ミダゾラム注「サンド」(10mg/2mL)",14
"196","1124401A1060","☆ミダゾラム注「サンド」(10mg/2mL)",2509
"197","1124401A1095","(向)ミダゾラム注射液(10mg/2mL)「NIG」",536
"198","1124402A2053","(向)セルシン注(10mg/2ml)",389
"199","1124402A2053","☆セルシン注(10mg/2ml)",281
"200","1124402A2070","(向)ジアゼパム注射液(10mg/2mL)｢NIG｣",2
"201","1125402A1054","(向)フェノバール注(100mg/1ml)",19
"202","1129400A1038","☆プレセデックス静注(200μg/2ml)",251
"203","1129400A1054","☆プレセデックス静注液(200μg/2mL)ﾌｧｲｻﾞｰ",724
"204","1129400A1054","プレセデックス静注液(200μg/2mL)ﾌｧｲｻﾞｰ",1518
"205","1129400G1022","☆ﾌﾟﾚｾﾃﾞｯｸｽ静注液ｼﾘﾝｼﾞ(200μg/50mL)ﾌｧｲｻﾞｰ",1071
"206","1129400G1022","ﾌﾟﾚｾﾃﾞｯｸｽ静注液ｼﾘﾝｼﾞ(200μg/50mL)ﾌｧｲｻﾞｰ",3358
"207","1129400G1030","☆プレセデックス静注液ｼﾘﾝｼﾞ(200μg/50mL)",515
"208","1132400A1033","アレビアチン注(250mg/5ml)",4
"209","1132401A1020","☆ホストイン静注(750mg/10mL)",141
"210","1132401A1020","ホストイン静注(750mg/10mL)",135
"211","1139400F1023","(向)ノーベルバール静注用（２５０ｍｇ）",28
"212","1139400F1023","☆ノーベルバール静注用（２５０ｍｇ）",140
"213","1139401A1020","(向)ミダフレッサ静注0.1％(10mg/10mL)",5
"214","1139401A1020","☆ミダフレッサ静注0.1％(10mg/10mL)",5
"215","1139402A1025","☆イーケプラ点滴静注(500mg/5mL)",437
"216","1139402A1025","イーケプラ点滴静注(500mg/5mL)",1345
"217","1139404A1024","☆ビムパット点滴静注(200mg/20mL)",15
"218","1139404A2020","☆ビムパット点滴静注(100mg/10mL)",89
"219","1139404A2020","ビムパット点滴静注(100mg/10mL)",229
"220","1139405D1025","【限】フィコンパ点滴静注用２ｍｇ",1
"221","1139405D1025","フィコンパ点滴静注用２ｍｇ",3
"222","1141400A2020","アセリオ静注液(１０００ｍｇ／１００ｍＬ)",22512
"223","1149401A1027","(向)ソセゴン注射液(15mg/1mL)【AD】",1443
"224","1149401A1027","☆ソセゴン注射液(15mg/1mL)【AD】",1131
"225","1149403A1050","(向)レペタン注(0.2mg/1ml)【AD】",310
"226","1149403A1050","☆レペタン注(0.2mg/1ml)【AD】",197
"227","1149407A1040","ロピオン静注(50mg/5ml)",8762
"228","1149503G1027","ネオビタカイン注シリンジ５ｍＬ",3
"229","1149601A2062","ノイロトロピン注（３．６Ｕ／３ｍｌ）",2
"230","1162400A1059","アキネトン注(5mg/1ml)",4
"231","1164400A2041","ドパストン静注(50mg/20ml)",191
"232","1169400G1028","アポカイン皮下注（３０ｍｇ／３ｍＬ）",1
"233","1169500A1023","【限】ｳﾞｨｱﾚﾌﾞ配合持続皮下注(10mL/V)",12
"234","1169500A1023","ｳﾞｨｱﾚﾌﾞ配合持続皮下注(10mL/V)",111
"235","1179401A1026","☆アタラックスＰ注(25mg/1ml)",1675
"236","1179401A1026","アタラックスＰ注(25mg/1ml)",3044
"237","1179404A1070","☆セレネース注(5mg/1ml)",481
"238","1179404A1070","セレネース注(5mg/1ml)",1669
"239","1179408E1020","☆ジプレキサ筋注用（１０ｍｇ）",9
"240","1179408E1020","ジプレキサ筋注用（１０ｍｇ）",15
"241","1179409G4024","【限】ｾﾞﾌﾟﾘｵﾝ水懸筋注ｼﾘﾝｼﾞ(100mg/1mL)",37
"242","1179409G4024","☆【限】ｾﾞﾌﾟﾘｵﾝ水懸筋注ｼﾘﾝｼﾞ(100mg/1mL)",22
"243","1179409G5020","【限】ｾﾞﾌﾟﾘｵﾝ水懸筋注ｼﾘﾝｼﾞ150mg/1.5mL",41
"244","1179409G5020","☆【限】ｾﾞﾌﾟﾘｵﾝ水懸筋注ｼﾘﾝｼﾞ150mg/1.5mL",28
"245","1179410G1028","【限】ｴﾋﾞﾘﾌｧｲ持続性水懸筋注用ｼﾘﾝｼﾞ(300mg)",8
"246","1179410G2024","【限】ｴﾋﾞﾘﾌｧｲ持続性水懸筋注用ｼﾘﾝｼﾞ(400mg)",13
"247","1190401G1026","ラジカット点滴静注バッグ(30mg/100mL)",78
"248","1190401G1069","ｴﾀﾞﾗﾎﾞﾝ点滴静注液ﾊﾞｯｸﾞ(30mg/100mL)｢NP｣",56
"249","1190401G1115","ｴﾀﾞﾗﾎﾞﾝ点滴静注液ﾊﾞｯｸﾞ日医工(30mg/100mL)",347
"250","1190402A1028","タイサブリ点滴静注３００ｍｇ",201
"251","1190403A1022","【限】スピンラザ髄注（１２ｍｇ／５ｍＬ）",37
"252","1190404G2026","エムガルティ皮下注ｵｰﾄｲﾝｼﾞｪｸﾀｰ(120mg/1mL)",25
"253","1190405G1024","【限】ケシンプタ皮下注ペン(20mg/0.4mL)",4
"254","1190405G1024","ケシンプタ皮下注ペン(20mg/0.4mL)",185
"255","1190406G1029","アイモビーグ皮下注ペン(70mg/1mL)",14
"256","1190407G1023","アジョビ皮下注シリンジ(225mg/1.5mL)",5
"257","1190407G2020","アジョビ皮下注ｵｰﾄｲﾝｼﾞｪｸﾀｰ(225mg/1.5mL)",38
"258","1190408A1025","レケンビ点滴静注(200mg/2mL)",83
"259","1190408A2021","レケンビ点滴静注(500mg/5mL)",25
"260","1190411A1027","【限】クアルソディ髄注(100mg/15mL)",1
"261","1211401A6086","プロカニン注１％(５ｍｌ)",974
"262","1214400A2029","１％キシロカインＥ注(20ml)",134
"263","1214400A9058","キシロカイン注ﾎﾟﾘｱﾝﾌﾟ2%(5mL/本)(局麻用)",317
"264","1214400G2021","【部署限定】ｷｼﾛｶｲﾝ注ｼﾘﾝｼﾞ1%(100mg/10mL)(ISO80369-6相互接続防止)",356
"265","1214400G2021","キシロカイン注シリンジ１％(100mg/10ml)",2830
"266","1214400H1055","キシロカイン注ﾎﾟﾘｱﾝﾌﾟ2%(10mL/本)(局麻用)",4
"267","1214401A2023","キシロカイン０．５％筋注用溶解液(3ml)",150
"268","1214401A5022","☆２％キシロカイン静注(5mL)(抗不整脈剤)",381
"269","1214401A5022","２％キシロカイン静注(5mL)(抗不整脈剤)",300
"270","1214403A4025","マーカイン注脊麻用０．５％・高比重４ｍｌ",46
"271","1214403A5021","マーカイン注脊麻用０．５％等比重４ｍｌ",172
"272","1214405A4024","アナペイン注７．５ｍｇ／ｍｌ・２０ｍｌ",551
"273","1214405A4032","ﾛﾋﾟﾊﾞｶｲﾝ塩酸塩0.75%注150mg/20mL｢ﾃﾙﾓ｣",6
"274","1214407G1027","ポプスカイン0.25％注シリンジ(25mg/10mL)",3
"275","1214407G3020","ポプスカイン０.２５%注ﾊﾞｯｸﾞ(250mg/100ml)",1259
"276","1214407G3020","麻薬用ﾎﾟﾌﾟｽｶｲﾝ0.25%注ﾊﾞｯｸﾞ(250mg/100mL)",49
"277","1224400A3056","（毒）スキサメトニウム注(100mg/5ml)",2
"278","1224400A3056","☆（毒）スキサメトニウム注(100mg/5ml)",2
"279","1229402D1039","ダントリウム静注用(20mg)",1
"280","1229403F1050","☆（毒）ベクロニウム静注用（４ｍｇ）｢Ｆ｣",4
"281","1229404D1020","（毒）ボトックス注用（５０単位）",120
"282","1229404D1020","☆（毒）ボトックス注用（５０単位）",69
"283","1229404D2026","（毒）ボトックス注用（１００単位）",9
"284","1229404D2026","☆（毒）ボトックス注用（１００単位）",14
"285","1229405A2024","（毒）エスラックス静注(50mg/5ml)",739
"286","1229405A2024","☆（毒）エスラックス静注(50mg/5ml)",395
"287","1232400X1031","オビソート注(100mg)",71
"288","1242401A1331","ﾌﾞﾁﾙｽｺﾎﾟﾗﾐﾝ臭化物注｢日医工｣(20mg/1mL)",256
"289","1242401A1382","ﾌﾞﾁﾙｽｺﾎﾟﾗﾐﾝ臭化物注射液(20mg/1mL)｢ﾀｶﾀ｣",21
"290","1242401G1032","ブチルスコポラミン注シリンジ(20mg/1mL)",1
"291","1242405A1089","アトロピン硫酸塩注｢タナベ｣(0.5mg/1mL)",668
"292","1242405A1089","アトロピン硫酸塩注｢ニプロ｣(0.5mg/1mL)",37
"293","1242406G1035","アトロピン注0.05%シリンジ(0.5mg/1ml)",110
"294","1244400A1030","マグネゾール静注(20ml)",3
"295","1244401A1069","【Ｍｇ】硫酸Ｍｇ補正液(20mEq/20ml)",10898
"296","1249401A1022","ギャバロン髄注0.005%(0.05mg/1ml)",10
"297","1249401A2029","ギャバロン髄注0.05%(10mg/20ml)",123
"298","1249401A3025","ギャバロン髄注0.2%(10mg/5ml)",165
"299","1290400A1024","【限】オンパットロ点滴静注(8.8mg/4.4mL)",78
"300","1290401G1021","【限】ｱﾑｳﾞﾄﾗ皮下注ｼﾘﾝｼﾞ(25mg/0.5mL)",24
"301","1290401G1021","ｱﾑｳﾞﾄﾗ皮下注ｼﾘﾝｼﾞ(25mg/0.5mL)",18
"302","1319401F1026","ビスダイン静注用（１５ｍｇ）",9
"303","1319403G1020","ﾙｾﾝﾃｨｽ硝子体内注射用キット10mg/mL",82
"304","1319404D1037","マキュエイド眼注用40mg",236
"305","1319405A1027","アイリーア硝子体内注射液(40mg/mL)",318
"306","1319405A2023","アイリーア8mg硝子体内注射液(114.3mg/mL)",105
"307","1319405G1020","アイリーア硝子体内注射用キット(40mg/mL)",2245
"308","1319406G1024","ベオビュ硝子体内注射用キット(120mg/mL)",110
"309","1319407G1029","ラニビズマブBS硝子体内注射用ｷｯﾄ(10mg/mL)｢ｾﾝｼﾞｭ｣",12
"310","1319408A1020","【限】バビースモ硝子体内注射液(120mg/mL)",3
"311","1319408A1020","バビースモ硝子体内注射液(120mg/mL)",200
"312","2113400A1032","☆ジゴシン注(0.25mg/1ml)",273
"313","2113400A1032","ジゴシン注(0.25mg/1ml)",446
"314","2115400A1193","☆ネオフィリン注(250mg/10ml)",24
