"","BYOMEICD","BYOMEI","CNT"
"342","B99","細菌性結膜炎",49
"343","B99","重症感染症",79
"344","C004","下唇癌",4
"345","C01","舌根部癌",49
"346","C020","舌背癌",9
"347","C021","舌縁癌",54
"348","C029","舌癌",278
"349","C030","上顎歯肉癌",7
"350","C031","下顎歯肉癌",58
"351","C039","歯肉癌",5
"352","C049","口底癌",4
"353","C049","口腔底癌",64
"354","C050","硬口蓋癌",15
"355","C051","軟口蓋癌",6
"356","C052","口蓋垂癌",2
"357","C059","口蓋癌",1
"358","C060","頬粘膜癌",46
"359","C062","臼後部癌",3
"360","C069","口腔癌",18
"361","C07","耳下腺癌",294
"362","C080","顎下腺癌",70
"363","C081","舌下腺癌",10
"364","C089","唾液腺癌",8
"365","C089","唾液腺腺様のう胞癌",9
"366","C089","大唾液腺癌",1
"367","C091","口蓋弓癌",2
"368","C099","扁桃癌",35
"369","C100","喉頭蓋谷癌",4
"370","C102","中咽頭側壁癌",68
"371","C103","中咽頭後壁癌",3
"372","C109","中咽頭癌",611
"373","C110","上咽頭上壁癌",6
"374","C111","上咽頭後壁癌",11
"375","C119","上咽頭悪性腫瘍",4
"376","C119","上咽頭癌",142
"377","C12","梨状陥凹癌",198
"378","C132","下咽頭後部癌",53
"379","C139","下咽頭癌",1087
"380","C140","副咽頭間隙悪性腫瘍",4
"381","C140","咽頭癌",10
"382","C150","頚部食道癌",337
"383","C151","胸部上部食道癌",145
"384","C151","胸部下部食道癌",346
"385","C151","胸部中部食道癌",458
"386","C151","胸部食道癌",689
"387","C153","上部食道癌",21
"388","C154","中部食道癌",37
"389","C155","バレット食道癌",16
"390","C155","下部食道癌",70
"391","C158","食道胃接合部癌",99
"392","C159","早期食道癌",45
"393","C159","食道癌",1332
"394","C159","食道神経内分泌癌",37
"395","C159","食道神経内分泌腫瘍",3
"396","C159","食道腺癌",28
"397","C159","食道表在癌",323
"398","C160","噴門癌",31
"399","C160","噴門食道接合部癌",121
"400","C162","胃体部癌",86
"401","C163","幽門前庭部癌",3
"402","C163","胃前庭部癌",32
"403","C164","胃幽門部癌",2
"404","C169","ＨＥＲ２陽性胃癌",29
"405","C169","ＫＩＴ（ＣＤ１１７）陽性胃消化管間質腫瘍",53
"406","C169","小腸穿孔、汎発性腹膜炎",1
"407","C169","早期胃癌",839
"408","C169","残胃癌",27
"409","C169","胃カルチノイド",3
"410","C169","胃消化管間質腫瘍",20
"411","C169","胃癌",1728
"412","C169","胃神経内分泌細胞癌",46
"413","C169","胃管癌",13
"414","C169","胃進行癌",98
"415","C170","十二指腸消化管間質腫瘍",6
"416","C170","十二指腸癌",65
"417","C170","十二指腸神経内分泌癌",3
"418","C170","十二指腸神経内分泌腫瘍",18
"419","C171","空腸癌",10
"420","C172","回腸癌",11
"421","C172","回腸神経内分泌腫瘍",3
"422","C179","ＫＩＴ（ＣＤ１１７）陽性小腸消化管間質腫瘍",19
"423","C179","小腸消化管間質腫瘍",12
"424","C179","小腸癌",17
"425","C180","回盲部癌",8
"426","C180","盲腸癌",115
"427","C180","盲腸神経内分泌細胞癌",2
"428","C181","虫垂癌",19
"429","C182","上行結腸癌",334
"430","C184","横行結腸癌",201
"431","C186","下行結腸癌",114
"432","C187","Ｓ状結腸癌",409
"433","C189","大腸カルチノイド",3
"434","C189","大腸癌",845
"435","C189","大腸癌疑い",3
"436","C189","結腸消化管間質腫瘍",1
"437","C189","結腸癌",15
"438","C189","遺伝性大腸癌",1
"439","C189","遺伝性非ポリポーシス大腸癌",1
"440","C19","直腸Ｓ状部癌",105
"441","C19","直腸Ｓ状部結腸癌",26
"442","C20","直腸カルチノイド",46
"443","C20","直腸悪性黒色腫",15
"444","C20","直腸癌",937
"445","C20","直腸癌の再発",2
"446","C20","直腸癌術後再発",143
"447","C20","直腸神経内分泌細胞癌",26
"448","C20","直腸神経内分泌腫瘍",34
"449","C20","直腸脂肪肉腫",4
"450","C210","肛門悪性黒色腫",27
"451","C210","肛門扁平上皮癌",3
"452","C210","肛門癌",6
"453","C211","痔瘻癌",26
"454","C211","肛門管癌",19
"455","C220","原発性肝癌",1
"456","C220","肝癌",77
"457","C220","肝細胞癌",2763
"458","C220","肝細胞癌の疑い",2
"459","C220","肝細胞癌破裂",12
"460","C221","肝内胆管癌",117
"461","C221","胆管細胞癌",36
"462","C222","肝芽腫",7
"463","C223","肝血管肉腫",7
"464","C224","肝平滑筋肉腫",3
"465","C227","肝のう胞腺癌",6
"466","C23","胆のう癌",91
"467","C23","胆のう神経内分泌癌",16
"468","C240","下部胆管癌",54
"469","C240","中部胆管癌",43
"470","C240","肝門部胆管癌",22
"471","C240","胆のう管癌",15
"472","C240","胆管癌",191
"473","C240","遠位胆管癌",56
"474","C241","十二指腸乳頭癌",11
"475","C241","十二指腸乳頭部癌",27
"476","C248","肝門部胆管癌",142
"477","C249","胆道癌",9
"478","C250","グルーブ膵癌",1
"479","C250","膵頭部癌",987
"480","C251","膵体部癌",322
"481","C252","膵尾部癌",169
"482","C253","膵管内乳頭粘液性腺癌",26
"483","C253","膵管癌",47
"484","C254","悪性膵内分泌腫瘍",16
"485","C258","膵体尾部癌",82
"486","C259","充実性偽乳頭状腫瘍",19
"487","C259","膵癌",1218
"488","C259","膵腺房細胞癌",4
"489","C261","脾の悪性腫瘍",1
"490","C269","ＫＩＴ（ＣＤ１１７）陽性消化管間質腫瘍",1
"491","C269","イマチニブ耐性消化管間質腫瘍",11
"492","C269","大腸癌",1
"493","C300","嗅神経上皮腫",39
"494","C300","嗅神経芽腫",23
"495","C300","鼻腔悪性黒色腫",23
"496","C300","鼻腔癌",104
"497","C301","内リンパのう腫瘍",9
"498","C310","上顎洞癌",57
"499","C310","上顎癌",58
"500","C311","篩骨洞癌",54
"501","C319","副鼻腔癌",16
"502","C320","声門癌",226
"503","C320","声門癌の疑い",2
"504","C321","喉頭蓋癌",1
"505","C321","声門上癌",277
"506","C322","声門下癌",6
"507","C329","喉頭癌",317
"508","C33","気管癌",13
"509","C340","主気管支の悪性腫瘍",2
"510","C340","肺門部小細胞癌",37
"511","C340","肺門部肺癌",22
"512","C340","肺門部非小細胞癌",3
"513","C341","上葉小細胞肺癌",179
"514","C341","上葉肺扁平上皮癌",88
"515","C341","上葉肺癌",968
"516","C341","上葉肺腺癌",554
"517","C341","上葉非小細胞肺癌",620
"518","C342","中葉小細胞肺癌",1
"519","C342","中葉肺扁平上皮癌",25
"520","C342","中葉肺癌",111
"521","C342","中葉肺腺癌",126
"522","C342","中葉非小細胞肺癌",62
"523","C343","下葉小細胞肺癌",105
"524","C343","下葉肺扁平上皮癌",94
"525","C343","下葉肺癌",650
"526","C343","下葉肺腺癌",394
"527","C343","下葉非小細胞肺癌",345
"528","C349","ＡＬＫ融合遺伝子陽性非小細胞肺癌",33
"529","C349","ＥＧＦＲ遺伝子変異陽性非小細胞肺癌",144
"530","C349","ＲＯＳ１融合遺伝子陽性非小細胞肺癌",1
"531","C349","原発性肺癌",491
"532","C349","小細胞肺癌",158
"533","C349","肺カルチノイド",53
"534","C349","肺扁平上皮癌",58
"535","C349","肺癌",356
"536","C349","肺癌による閉塞性肺炎",1
"537","C349","肺癌の疑い",21
"538","C349","肺粘表皮癌",2
"539","C349","肺胞上皮癌",5
"540","C349","肺腺癌",279
"541","C349","非小細胞肺癌",75
"542","C37","悪性胸腺腫",361
"543","C37","浸潤型胸腺腫",94
"544","C37","胸腺カルチノイド",122
"545","C37","胸腺癌",326
"546","C380","心臓悪性腫瘍",4
"547","C380","心臓血管肉腫",33
"548","C381","前縦隔セミノーマ",3
"549","C381","前縦隔悪性腫瘍",22
"550","C383","悪性縦隔腫瘍",84
"551","C383","縦隔神経芽腫",27
"552","C383","縦隔胚細胞腫瘍",33
"553","C383","縦隔脂肪肉腫",17
"554","C384","胸膜悪性腫瘍",9
"555","C400","上腕骨近位部悪性骨腫瘍",49
"556","C400","上腕骨骨肉腫",32
"557","C400","肩甲骨悪性腫瘍",3
"558","C402","大腿骨悪性腫瘍",3
"559","C402","大腿骨近位部悪性骨腫瘍",12
"560","C402","大腿骨遠位端骨肉腫",12
"561","C402","大腿骨遠位部悪性骨腫瘍",36
"562","C402","大腿骨骨肉腫",64
"563","C402","脛骨ユーイング肉腫",3
"564","C402","脛骨遠位部悪性骨腫瘍",3
"565","C402","脛骨骨幹部悪性骨腫瘍",6
"566","C402","脛骨骨肉腫",6
"567","C410","斜台部脊索腫",10
"568","C411","下顎骨骨肉腫",3
"569","C412","胸椎骨肉腫",52
"570","C412","腰椎悪性腫瘍",3
"571","C412","頚椎悪性腫瘍",4
"572","C412","頚椎骨肉腫",3
"573","C413","肋骨悪性腫瘍",3
"574","C414","仙骨悪性腫瘍",3
"575","C414","腸骨軟骨肉腫",6
"576","C414","骨盤ユーイング肉腫",3
"577","C414","骨盤軟骨肉腫",3
"578","C414","骨盤骨悪性腫瘍",84
"579","C414","骨盤骨肉腫",6
"580","C419","ユーイング肉腫",163
